Rk,Player,salary,type,Season,Age,Tm,Lg,MP,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Giannis Antetokounmpo,25842697,1st Round Pick,2018-19,24,MIL,NBA,32.8,30.9,72,72,2358,11,19,10.2,15.9,0.8,3.1,7.6,10.5,2.4,11.3,13.7,6.5,1.4,1.7,4.1,3.5,30.4,0.578,0.641,0.256,0.599,0.729,0.644
2,James Harden,37800000,Bird Rights,2018-19,29,HOU,NBA,36.8,30.6,78,78,2867,10.6,24,5.8,11.1,4.7,12.9,9.5,10.8,0.8,5.7,6.5,7.4,2,0.7,4.9,3.1,35.4,0.442,0.528,0.368,0.541,0.879,0.616
3,Anthony Davis,27093019,1st Round Pick,2018-19,25,NOP,NBA,33,30.3,56,56,1850,10.3,20,9.4,17.1,0.9,2.8,6.7,8.4,3.4,9.7,13.1,4.2,1.7,2.6,2.2,2.6,28.3,0.517,0.547,0.331,0.54,0.794,0.597
4,Nikola Jokić,26573595,0,2018-19,23,DEN,NBA,31.3,26.3,80,80,2504,8.9,17.3,7.7,13.5,1.2,3.9,4.2,5.1,3.3,9.2,12.4,8.3,1.6,0.8,3.6,3.3,23.1,0.511,0.569,0.307,0.545,0.821,0.589
5,Karl-Anthony Towns,27250000,1st round pick,2018-19,23,MIN,NBA,33.1,26.3,77,77,2545,9.6,18.6,7.6,13.6,2,5,5.3,6.4,3.7,9.8,13.5,3.7,0.9,1.8,3.4,4.1,26.6,0.518,0.562,0.4,0.572,0.836,0.622
6,Joel Embiid,27504630,1st Round Pick,2018-19,24,PHI,NBA,33.7,26.1,64,64,2154,9.7,20,8.4,15.6,1.3,4.4,8.7,10.8,2.7,11.9,14.6,3.9,0.8,2,3.8,3.5,29.4,0.484,0.535,0.3,0.517,0.804,0.593
7,Kawhi Leonard,32742000,0,2018-19,27,TOR,NBA,34,25.8,60,60,2040,9.9,19.9,7.9,14.6,2,5.3,6.4,7.5,1.4,6.4,7.7,3.5,1.9,0.4,2.1,1.5,28.2,0.496,0.542,0.371,0.546,0.854,0.606
8,LeBron James,37436858,0,2018-19,34,LAL,NBA,35.2,25.6,55,55,1937,10.4,20.4,8.3,14.3,2.1,6.1,5.2,7.8,1.1,7.6,8.6,8.4,1.3,0.6,3.7,1.7,28,0.51,0.582,0.339,0.56,0.665,0.588
9,Nikola Vučević,28000000,0,2018-19,28,ORL,NBA,31.4,25.5,80,80,2510,10.1,19.4,8.8,16.1,1.2,3.3,2.6,3.3,3.2,10.6,13.8,4.4,1.2,1.3,2.3,2.3,23.9,0.518,0.549,0.364,0.549,0.789,0.573
10,Rudy Gobert,25008427,1st Round Pick,2018-19,26,UTA,NBA,31.8,24.6,81,80,2577,6.6,9.9,6.6,9.9,0,0,4.6,7.3,4.3,10.2,14.5,2.2,0.9,2.6,1.8,3.2,17.9,0.669,0.669,,0.669,0.636,0.682
11,Stephen Curry,40231758,Bird Rights,2018-19,30,GSW,NBA,33.8,24.4,69,69,2331,9.8,20.7,4.3,8.2,5.5,12.5,4.1,4.4,0.7,5,5.7,5.6,1.4,0.4,3,2.6,29.1,0.472,0.525,0.437,0.604,0.916,0.641
12,Jonas Valančiūnas,16000000,0,2018-19,26,TOT,NBA,22.3,24.4,49,27,1091,9.9,17.8,9.5,16.2,0.5,1.6,4.9,6.1,3.5,10.3,13.8,2.3,0.6,1.7,3,4.8,25.2,0.559,0.586,0.292,0.572,0.795,0.616
13,Kyrie Irving,31742000,0,2018-19,26,BOS,NBA,33,24.3,67,67,2214,9.8,20.2,7,13.1,2.8,7.1,3.5,4,1.2,4.3,5.4,7.5,1.7,0.6,2.8,2.7,26,0.487,0.533,0.401,0.557,0.873,0.592
14,Kevin Durant,37199000,0,2018-19,30,GSW,NBA,34.6,24.2,78,78,2702,9.6,18.4,7.8,13.3,1.8,5.2,6,6.7,0.4,6.2,6.6,6.1,0.8,1.1,3,2.1,27,0.521,0.587,0.353,0.571,0.885,0.631
15,Clint Capela,16456522,0,2018-19,24,HOU,NBA,33.6,23.8,67,67,2249,7.6,11.7,7.6,11.7,0,0,2.7,4.2,4.8,8.8,13.6,1.5,0.7,1.6,1.5,2.7,17.8,0.648,0.648,,0.648,0.636,0.658
16,Damian Lillard,29802321,1st Round Pick,2018-19,28,POR,NBA,35.5,23.7,80,80,2838,8.6,19.4,5.6,11.3,3,8.2,5.9,6.5,0.9,3.8,4.7,7,1.1,0.4,2.7,1.9,26.2,0.444,0.499,0.369,0.522,0.912,0.588
17,Hassan Whiteside,27093018,Cap Space,2018-19,29,MIA,NBA,23.3,23.5,72,53,1674,8.3,14.6,8.3,14.3,0,0.3,2.3,5.2,5.5,12,17.6,1.2,1,2.9,2.1,4.1,19.1,0.571,0.581,0.125,0.572,0.449,0.564
18,Andre Drummond,27093019,Cap Space,2018-19,25,DET,NBA,33.5,23.4,79,79,2647,7.6,14.3,7.6,13.8,0.1,0.5,3.3,5.6,5.8,11,16.8,1.5,1.8,1.9,2.4,3.7,18.6,0.533,0.548,0.132,0.536,0.59,0.555
19,Montrezl Harrell,6000000,0,2018-19,25,LAC,NBA,26.3,23.4,82,5,2158,9.1,14.8,9.1,14.5,0.1,0.3,4.4,6.9,3.1,5.9,8.9,2.7,1.2,1.8,2.2,4.3,22.7,0.615,0.623,0.176,0.617,0.643,0.636
20,Jusuf Nurkić,12000000,0,2018-19,24,POR,NBA,27.4,23.4,72,72,1974,7.7,15.1,7.6,14.5,0.1,0.5,5.1,6.7,4.4,9.2,13.6,4.2,1.3,1.9,3.1,4.6,20.5,0.508,0.523,0.103,0.51,0.773,0.57
21,Paul George,33005556,Maximum Salary,2018-19,28,OKC,NBA,36.9,23.3,77,77,2841,9,20.5,5.3,10.9,3.7,9.6,5.7,6.8,1.3,6.6,8,4,2.2,0.4,2.6,2.7,27.4,0.438,0.484,0.386,0.529,0.839,0.583
22,LaMarcus Aldridge,26000000,Cap Space,2018-19,33,SAS,NBA,33.2,22.9,81,81,2687,9.2,17.7,9,17.1,0.1,0.6,4.7,5.5,3.4,6.6,10,2.6,0.6,1.4,1.9,2.4,23.1,0.519,0.528,0.238,0.522,0.847,0.576
